firma;website;notiz;manual_review;tier;trust;gap;google_rating;google_reviews;reasons;score;ort;adresse;telefon;maps_url;query;discovered;place_id
MPM Haustechnik GmbH;;keine Website, ich kenne seine Leistungen nicht. Woher nimmst du sie her?;yes;HOT;3;5;5;4;"Trust 3: 5★ × 4 Reviews — etwas Proof; Gap 5: keine Website";9;Zugerstrasse 101;Zugerstrasse 101, 8810 Horgen;043 244 07 34;https://maps.google.com/?cid=9670842535814846282&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Horgen;2026-03-06;ChIJT16E2MyomkcRSlf7SQy8NYY
Walter Leuthold Sanitäre Anlagen;http://www.walter-leuthold.ch/;super. Genau sowas suchen wir.;yes;HOT;5;2;4.9;44;"Trust 5: 4.9★ × 44 Reviews — starker Proof; Gap 2: hat Website (Qualität manuell prüfen)";8;Seestrasse 98A;Seestrasse 98A, 8942 Oberrieden;044 720 16 90;https://maps.google.com/?cid=11953919896549750811&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Horgen;2026-03-06;ChIJd_ICeL6omkcRG3hSs8_a5KU
Widmer Sanitäre Anlagen GmbH;https://www.sanitaer-widmer.ch/;website zu modern;no;HOT;5;2;4.6;20;"Trust 5: 4.6★ × 20 Reviews — starker Proof; Gap 2: hat Website (Qualität manuell prüfen)";8;Feldstrasse 4;Feldstrasse 4, 8800 Thalwil;044 720 06 14;https://maps.google.com/?cid=18092632093686044299&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Horgen;2026-03-06;ChIJARsvDdOnmkcRixb9wwfxFfs
Girojet AG - Bodenheizungsreinigung;https://www.girojet.ch/;nicht unser spezialgebiet;no;HOT;5;2;4.9;57;"Trust 5: 4.9★ × 57 Reviews — starker Proof; Gap 2: hat Website (Qualität manuell prüfen)";8;Aaweiherstrasse 3;Aaweiherstrasse 3, 8810 Horgen;043 810 99 22;https://maps.google.com/?cid=13663366012807661482&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Heizungsinstallateur Horgen;2026-03-06;ChIJO_cp_GavmkcRqseLPf8Gnr0
Alarmstelle für Heizung & Sanitär. HEiZEN24 AG;;keine Website, ich kenne seine Leistungen nicht. Woher nimmst du sie her?;yes;HOT;2;5;4;1;"Trust 2: 1 Reviews — existiert digital; Gap 5: keine Website";8;Rietwiesstrasse 101;Rietwiesstrasse 101, 8810 Horgen;0840 024 024;https://maps.google.com/?cid=9559058048678389866&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Heizungsinstallateur Horgen;2026-03-06;ChIJ_Zab_B-vmkcRamjQMqaYqIQ
Reno Group GmbH - Hausumbau, Badezimmer renovieren;https://renogroup.ch/umbau/;zu viel Leistungen;no;HOT;5;2;4.5;11;"Trust 5: 4.5★ × 11 Reviews — starker Proof; Gap 2: hat Website (Qualität manuell prüfen)";8;Dorfstrasse 6;Dorfstrasse 6, 8802 Kilchberg;056 611 10 01;https://maps.google.com/?cid=14356784630880133706&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Horgen;2026-03-06;ChIJEehbRVCnmkcRSuJlaI6LPcc
Bäderberg GmbH;https://www.baederberg.ch/;website zu modern;no;HOT;5;2;5;28;"Trust 5: 5★ × 28 Reviews — starker Proof; Gap 2: hat Website (Qualität manuell prüfen)";8;Zugerstrasse 18;Zugerstrasse 18, 8805 Richterswil;076 753 44 78;https://maps.google.com/?cid=3880825590023428989&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Horgen;2026-03-06;ChIJGRPFCOOtmkcRfZuXCFB22zU
Stark Haustechnik GmbH;http://www.stark-haustechnik.ch/;website zu modern;no;HOT;5;2;4.8;18;"Trust 5: 4.8★ × 18 Reviews — starker Proof; Gap 2: hat Website (Qualität manuell prüfen)";8;Zürichstrasse 103;Zürichstrasse 103, 8134 Adliswil;079 961 76 91;https://maps.google.com/?cid=1716732306007243191&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Horgen;2026-03-06;ChIJn2Ij_eSnmkcRt7n_ye8O0xc
M. Gisler Baukeramik;http://gisler-baukeramik.ch/;website zu modern;no;HOT;5;2;5;11;"Trust 5: 5★ × 11 Reviews — starker Proof; Gap 2: hat Website (Qualität manuell prüfen)";8;Kreuzstrasse 7;Kreuzstrasse 7, 8820 Wädenswil;043 477 82 65;https://maps.google.com/?cid=8860288400032381318&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Horgen;2026-03-06;ChIJzQpv9kKvmkcRhrlxI1sR9no
Leins AG;http://www.leinsag.ch/;website ist schon gut modern, aber starke google bewertungen. Wir schaffen es besser;yes;HOT;4;2;5;9;"Trust 4: 5★ × 9 Reviews — solider Proof; Gap 2: hat Website (Qualität manuell prüfen)";7;Glärnischstrasse 18;Glärnischstrasse 18, 8810 Horgen;043 244 66 55;https://maps.google.com/?cid=2251299135937206314&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Horgen;2026-03-06;ChIJ8-sN1MyomkcRKliu4KI4Ph8
